Ma,P/P_0,T/T_0,r/r_0,c/c_0,A/A*
3.66,1.0469E-02,2.7180E-01,3.8516E-02,5.2135E-01,7.8742E+00
3.67,1.0324E-02,2.7073E-01,3.8135E-02,5.2031E-01,7.9470E+00
3.68,1.0182E-02,2.6965E-01,3.7758E-02,5.1928E-01,8.0204E+00
3.69,1.0041E-02,2.6858E-01,3.7386E-02,5.1825E-01,8.0944E+00
3.70,9.9029E-03,2.6752E-01,3.7017E-02,5.1723E-01,8.1691E+00
3.71,9.7667E-03,2.6647E-01,3.6653E-02,5.1620E-01,8.2443E+00
3.72,9.6325E-03,2.6542E-01,3.6292E-02,5.1518E-01,8.3202E+00
3.73,9.5004E-03,2.6437E-01,3.5936E-02,5.1417E-01,8.3968E+00
3.74,9.3702E-03,2.6333E-01,3.5584E-02,5.1316E-01,8.4739E+00
3.75,9.2420E-03,2.6230E-01,3.5235E-02,5.1215E-01,8.5517E+00
3.76,9.1157E-03,2.6127E-01,3.4890E-02,5.1114E-01,8.6302E+00
3.77,8.9912E-03,2.6024E-01,3.4550E-02,5.1014E-01,8.7093E+00
3.78,8.8687E-03,2.5922E-01,3.4212E-02,5.0914E-01,8.7891E+00
3.79,8.7479E-03,2.5821E-01,3.3879E-02,5.0814E-01,8.8695E+00
3.80,8.6290E-03,2.5720E-01,3.3549E-02,5.0715E-01,8.9506E+00
3.81,8.5118E-03,2.5620E-01,3.3223E-02,5.0616E-01,9.0323E+00
3.82,8.3963E-03,2.5520E-01,3.2901E-02,5.0517E-01,9.1148E+00
3.83,8.2826E-03,2.5421E-01,3.2582E-02,5.0419E-01,9.1979E+00
3.84,8.1705E-03,2.5322E-01,3.2266E-02,5.0321E-01,9.2817E+00
3.85,8.0601E-03,2.5224E-01,3.1954E-02,5.0223E-01,9.3661E+00
3.86,7.9513E-03,2.5126E-01,3.1646E-02,5.0126E-01,9.4513E+00
3.87,7.8442E-03,2.5029E-01,3.1340E-02,5.0029E-01,9.5372E+00
3.88,7.7386E-03,2.4932E-01,3.1039E-02,4.9932E-01,9.6237E+00
3.89,7.6345E-03,2.4836E-01,3.0740E-02,4.9836E-01,9.7110E+00
3.90,7.5320E-03,2.4740E-01,3.0445E-02,4.9740E-01,9.7990E+00
3.91,7.4311E-03,2.4645E-01,3.0152E-02,4.9644E-01,9.8877E+00
3.92,7.3315E-03,2.4550E-01,2.9863E-02,4.9548E-01,9.9771E+00
3.93,7.2335E-03,2.4456E-01,2.9578E-02,4.9453E-01,1.0067E+01
3.94,7.1369E-03,2.4362E-01,2.9295E-02,4.9358E-01,1.0158E+01
3.95,7.0417E-03,2.4269E-01,2.9015E-02,4.9263E-01,1.0250E+01
3.96,6.9479E-03,2.4176E-01,2.8739E-02,4.9169E-01,1.0342E+01
3.97,6.8554E-03,2.4084E-01,2.8465E-02,4.9075E-01,1.0435E+01
3.98,6.7643E-03,2.3992E-01,2.8194E-02,4.8981E-01,1.0529E+01
3.99,6.6745E-03,2.3900E-01,2.7926E-02,4.8888E-01,1.0623E+01
4.00,6.5861E-03,2.3810E-01,2.7662E-02,4.8795E-01,1.0719E+01
4.01,6.4989E-03,2.3719E-01,2.7400E-02,4.8702E-01,1.0815E+01
4.02,6.4130E-03,2.3629E-01,2.7140E-02,4.8610E-01,1.0912E+01
4.03,6.3283E-03,2.3539E-01,2.6884E-02,4.8518E-01,1.1009E+01
4.04,6.2449E-03,2.3450E-01,2.6630E-02,4.8426E-01,1.1108E+01
4.05,6.1627E-03,2.3362E-01,2.6379E-02,4.8334E-01,1.1207E+01
4.06,6.0816E-03,2.3274E-01,2.6131E-02,4.8243E-01,1.1307E+01
4.07,6.0018E-03,2.3186E-01,2.5885E-02,4.8152E-01,1.1408E+01
4.08,5.9230E-03,2.3099E-01,2.5643E-02,4.8061E-01,1.1509E+01
4.09,5.8455E-03,2.3012E-01,2.5402E-02,4.7970E-01,1.1611E+01
4.10,5.7690E-03,2.2925E-01,2.5164E-02,4.7880E-01,1.1715E+01
4.11,5.6936E-03,2.2839E-01,2.4929E-02,4.7790E-01,1.1819E+01
4.12,5.6193E-03,2.2754E-01,2.4696E-02,4.7701E-01,1.1923E+01
4.13,5.5461E-03,2.2669E-01,2.4466E-02,4.7612E-01,1.2029E+01
4.14,5.4739E-03,2.2584E-01,2.4238E-02,4.7523E-01,1.2135E+01
4.15,5.4028E-03,2.2500E-01,2.4013E-02,4.7434E-01,1.2243E+01
4.16,5.3327E-03,2.2416E-01,2.3790E-02,4.7345E-01,1.2351E+01
4.17,5.2636E-03,2.2332E-01,2.3569E-02,4.7257E-01,1.2460E+01
4.18,5.1954E-03,2.2250E-01,2.3351E-02,4.7169E-01,1.2570E+01
4.19,5.1283E-03,2.2167E-01,2.3135E-02,4.7082E-01,1.2680E+01
4.20,5.0621E-03,2.2085E-01,2.2921E-02,4.6994E-01,1.2792E+01
4.21,4.9968E-03,2.2003E-01,2.2710E-02,4.6907E-01,1.2904E+01
4.22,4.9325E-03,2.1922E-01,2.2500E-02,4.6821E-01,1.3017E+01
4.23,4.8690E-03,2.1841E-01,2.2293E-02,4.6734E-01,1.3131E+01
4.24,4.8065E-03,2.1760E-01,2.2088E-02,4.6648E-01,1.3246E+01
4.25,4.7449E-03,2.1680E-01,2.1886E-02,4.6562E-01,1.3362E+01
4.26,4.6841E-03,2.1601E-01,2.1685E-02,4.6476E-01,1.3479E+01
4.27,4.6242E-03,2.1521E-01,2.1487E-02,4.6391E-01,1.3597E+01
4.28,4.5651E-03,2.1442E-01,2.1290E-02,4.6306E-01,1.3715E+01
4.29,4.5069E-03,2.1364E-01,2.1096E-02,4.6221E-01,1.3835E+01
4.30,4.4494E-03,2.1286E-01,2.0903E-02,4.6136E-01,1.3955E+01
4.31,4.3928E-03,2.1208E-01,2.0713E-02,4.6052E-01,1.4076E+01
4.32,4.3370E-03,2.1131E-01,2.0525E-02,4.5968E-01,1.4198E+01
4.33,4.2820E-03,2.1054E-01,2.0338E-02,4.5884E-01,1.4322E+01
4.34,4.2277E-03,2.0977E-01,2.0154E-02,4.5801E-01,1.4446E+01
4.35,4.1742E-03,2.0901E-01,1.9971E-02,4.5717E-01,1.4571E+01
4.36,4.1214E-03,2.0825E-01,1.9791E-02,4.5634E-01,1.4697E+01
4.37,4.0694E-03,2.0750E-01,1.9612E-02,4.5552E-01,1.4823E+01
4.38,4.0181E-03,2.0674E-01,1.9435E-02,4.5469E-01,1.4951E+01
4.39,3.9675E-03,2.0600E-01,1.9260E-02,4.5387E-01,1.5080E+01
4.40,3.9176E-03,2.0525E-01,1.9087E-02,4.5305E-01,1.5210E+01
4.41,3.8685E-03,2.0451E-01,1.8915E-02,4.5223E-01,1.5341E+01
4.42,3.8199E-03,2.0378E-01,1.8746E-02,4.5142E-01,1.5472E+01
4.43,3.7721E-03,2.0305E-01,1.8578E-02,4.5061E-01,1.5605E+01
4.44,3.7249E-03,2.0232E-01,1.8411E-02,4.4980E-01,1.5739E+01
4.45,3.6784E-03,2.0159E-01,1.8247E-02,4.4899E-01,1.5873E+01
4.46,3.6325E-03,2.0087E-01,1.8084E-02,4.4819E-01,1.6009E+01
4.47,3.5873E-03,2.0015E-01,1.7923E-02,4.4738E-01,1.6146E+01
4.48,3.5427E-03,1.9944E-01,1.7763E-02,4.4659E-01,1.6284E+01
4.49,3.4987E-03,1.9873E-01,1.7605E-02,4.4579E-01,1.6422E+01
4.50,3.4553E-03,1.9802E-01,1.7449E-02,4.4499E-01,1.6562E+01
4.51,3.4124E-03,1.9732E-01,1.7294E-02,4.4420E-01,1.6703E+01
4.52,3.3702E-03,1.9662E-01,1.7141E-02,4.4341E-01,1.6845E+01
4.53,3.3286E-03,1.9592E-01,1.6990E-02,4.4263E-01,1.6988E+01
4.54,3.2875E-03,1.9522E-01,1.6840E-02,4.4184E-01,1.7132E+01
4.55,3.2470E-03,1.9453E-01,1.6691E-02,4.4106E-01,1.7277E+01
4.56,3.2070E-03,1.9385E-01,1.6544E-02,4.4028E-01,1.7423E+01
4.57,3.1676E-03,1.9316E-01,1.6399E-02,4.3950E-01,1.7570E+01
4.58,3.1287E-03,1.9248E-01,1.6255E-02,4.3873E-01,1.7718E+01
4.59,3.0904E-03,1.9181E-01,1.6112E-02,4.3796E-01,1.7867E+01
4.60,3.0526E-03,1.9113E-01,1.5971E-02,4.3719E-01,1.8018E+01
4.61,3.0152E-03,1.9046E-01,1.5831E-02,4.3642E-01,1.8169E+01
4.62,2.9784E-03,1.8979E-01,1.5693E-02,4.3565E-01,1.8322E+01
4.63,2.9421E-03,1.8913E-01,1.5556E-02,4.3489E-01,1.8476E+01
4.64,2.9063E-03,1.8847E-01,1.5420E-02,4.3413E-01,1.8630E+01
4.65,2.8709E-03,1.8781E-01,1.5286E-02,4.3337E-01,1.8786E+01
4.66,2.8361E-03,1.8716E-01,1.5153E-02,4.3262E-01,1.8943E+01
4.67,2.8017E-03,1.8651E-01,1.5022E-02,4.3186E-01,1.9101E+01
4.68,2.7677E-03,1.8586E-01,1.4892E-02,4.3111E-01,1.9261E+01
4.69,2.7343E-03,1.8521E-01,1.4763E-02,4.3036E-01,1.9421E+01
4.70,2.7012E-03,1.8457E-01,1.4635E-02,4.2962E-01,1.9583E+01
4.71,2.6687E-03,1.8393E-01,1.4509E-02,4.2887E-01,1.9746E+01
4.72,2.6365E-03,1.8330E-01,1.4384E-02,4.2813E-01,1.9910E+01
4.73,2.6048E-03,1.8266E-01,1.4260E-02,4.2739E-01,2.0075E+01
4.74,2.5735E-03,1.8203E-01,1.4138E-02,4.2665E-01,2.0241E+01
4.75,2.5426E-03,1.8141E-01,1.4016E-02,4.2592E-01,2.0408E+01
4.76,2.5121E-03,1.8078E-01,1.3896E-02,4.2518E-01,2.0577E+01
4.77,2.4821E-03,1.8016E-01,1.3777E-02,4.2445E-01,2.0747E+01
4.78,2.4524E-03,1.7954E-01,1.3659E-02,4.2373E-01,2.0918E+01
4.79,2.4231E-03,1.7893E-01,1.3543E-02,4.2300E-01,2.1090E+01
4.80,2.3943E-03,1.7832E-01,1.3427E-02,4.2228E-01,2.1264E+01
4.81,2.3658E-03,1.7771E-01,1.3313E-02,4.2155E-01,2.1438E+01
4.82,2.3376E-03,1.7710E-01,1.3199E-02,4.2083E-01,2.1614E+01
4.83,2.3099E-03,1.7650E-01,1.3087E-02,4.2012E-01,2.1792E+01
4.84,2.2825E-03,1.7590E-01,1.2976E-02,4.1940E-01,2.1970E+01
4.85,2.2555E-03,1.7530E-01,1.2866E-02,4.1869E-01,2.2150E+01
4.86,2.2288E-03,1.7471E-01,1.2758E-02,4.1798E-01,2.2331E+01
4.87,2.2025E-03,1.7411E-01,1.2650E-02,4.1727E-01,2.2513E+01
4.88,2.1765E-03,1.7352E-01,1.2543E-02,4.1656E-01,2.2696E+01
4.89,2.1509E-03,1.7294E-01,1.2437E-02,4.1586E-01,2.2881E+01
4.90,2.1256E-03,1.7235E-01,1.2333E-02,4.1516E-01,2.3067E+01
4.91,2.1006E-03,1.7177E-01,1.2229E-02,4.1446E-01,2.3254E+01
4.92,2.0760E-03,1.7120E-01,1.2126E-02,4.1376E-01,2.3443E+01
4.93,2.0517E-03,1.7062E-01,1.2025E-02,4.1306E-01,2.3633E+01
4.94,2.0277E-03,1.7005E-01,1.1924E-02,4.1237E-01,2.3824E+01
4.95,2.0040E-03,1.6948E-01,1.1824E-02,4.1168E-01,2.4017E+01
4.96,1.9806E-03,1.6891E-01,1.1726E-02,4.1099E-01,2.4211E+01
4.97,1.9575E-03,1.6835E-01,1.1628E-02,4.1030E-01,2.4406E+01
4.98,1.9347E-03,1.6778E-01,1.1531E-02,4.0961E-01,2.4603E+01
4.99,1.9122E-03,1.6722E-01,1.1435E-02,4.0893E-01,2.4801E+01
5.00,1.8900E-03,1.6667E-01,1.1340E-02,4.0825E-01,2.5000E+01
5.01,1.8681E-03,1.6611E-01,1.1246E-02,4.0757E-01,2.5201E+01
5.02,1.8465E-03,1.6556E-01,1.1153E-02,4.0689E-01,2.5403E+01
5.03,1.8252E-03,1.6501E-01,1.1061E-02,4.0622E-01,2.5606E+01
5.04,1.8041E-03,1.6447E-01,1.0969E-02,4.0554E-01,2.5811E+01
5.05,1.7833E-03,1.6392E-01,1.0879E-02,4.0487E-01,2.6017E+01
5.06,1.7628E-03,1.6338E-01,1.0789E-02,4.0420E-01,2.6225E+01
5.07,1.7425E-03,1.6284E-01,1.0701E-02,4.0353E-01,2.6434E+01
5.08,1.7225E-03,1.6230E-01,1.0613E-02,4.0287E-01,2.6644E+01
5.09,1.7027E-03,1.6177E-01,1.0526E-02,4.0221E-01,2.6856E+01
5.10,1.6832E-03,1.6124E-01,1.0439E-02,4.0154E-01,2.7070E+01
5.11,1.6640E-03,1.6071E-01,1.0354E-02,4.0089E-01,2.7284E+01
5.12,1.6449E-03,1.6018E-01,1.0269E-02,4.0023E-01,2.7501E+01
5.13,1.6262E-03,1.5966E-01,1.0185E-02,3.9957E-01,2.7718E+01
5.14,1.6077E-03,1.5914E-01,1.0102E-02,3.9892E-01,2.7937E+01
5.15,1.5894E-03,1.5862E-01,1.0020E-02,3.9827E-01,2.8158E+01
5.16,1.5713E-03,1.5810E-01,9.9387E-03,3.9762E-01,2.8380E+01
5.17,1.5535E-03,1.5759E-01,9.8580E-03,3.9697E-01,2.8604E+01
5.18,1.5359E-03,1.5707E-01,9.7780E-03,3.9632E-01,2.8829E+01
5.19,1.5185E-03,1.5656E-01,9.6989E-03,3.9568E-01,2.9055E+01
5.20,1.5013E-03,1.5605E-01,9.6204E-03,3.9504E-01,2.9283E+01
5.21,1.4844E-03,1.5555E-01,9.5427E-03,3.9440E-01,2.9513E+01
5.22,1.4676E-03,1.5505E-01,9.4657E-03,3.9376E-01,2.9744E+01
5.23,1.4511E-03,1.5455E-01,9.3895E-03,3.9312E-01,2.9977E+01
5.24,1.4348E-03,1.5405E-01,9.3140E-03,3.9249E-01,3.0211E+01
5.25,1.4187E-03,1.5355E-01,9.2391E-03,3.9186E-01,3.0447E+01
5.26,1.4028E-03,1.5306E-01,9.1650E-03,3.9122E-01,3.0684E+01
5.27,1.3871E-03,1.5257E-01,9.0915E-03,3.9060E-01,3.0923E+01
5.28,1.3715E-03,1.5208E-01,9.0188E-03,3.8997E-01,3.1163E+01
5.29,1.3562E-03,1.5159E-01,8.9467E-03,3.8934E-01,3.1405E+01
5.30,1.3411E-03,1.5110E-01,8.8753E-03,3.8872E-01,3.1649E+01
5.31,1.3261E-03,1.5062E-01,8.8046E-03,3.8810E-01,3.1894E+01
5.32,1.3114E-03,1.5014E-01,8.7345E-03,3.8748E-01,3.2141E+01
5.33,1.2968E-03,1.4966E-01,8.6650E-03,3.8686E-01,3.2390E+01
5.34,1.2824E-03,1.4918E-01,8.5962E-03,3.8624E-01,3.2640E+01
5.35,1.2682E-03,1.4871E-01,8.5281E-03,3.8563E-01,3.2891E+01
5.36,1.2542E-03,1.4824E-01,8.4605E-03,3.8502E-01,3.3145E+01
5.37,1.2403E-03,1.4777E-01,8.3936E-03,3.8441E-01,3.3400E+01
5.38,1.2266E-03,1.4730E-01,8.3273E-03,3.8380E-01,3.3656E+01
5.39,1.2131E-03,1.4683E-01,8.2616E-03,3.8319E-01,3.3915E+01
5.40,1.1997E-03,1.4637E-01,8.1965E-03,3.8258E-01,3.4175E+01
5.41,1.1865E-03,1.4591E-01,8.1320E-03,3.8198E-01,3.4437E+01
5.42,1.1735E-03,1.4545E-01,8.0682E-03,3.8138E-01,3.4700E+01
5.43,1.1606E-03,1.4499E-01,8.0048E-03,3.8078E-01,3.4965E+01
5.44,1.1479E-03,1.4454E-01,7.9421E-03,3.8018E-01,3.5232E+01
5.45,1.1354E-03,1.4408E-01,7.8799E-03,3.7958E-01,3.5500E+01
5.46,1.1230E-03,1.4363E-01,7.8183E-03,3.7899E-01,3.5771E+01
5.47,1.1107E-03,1.4318E-01,7.7573E-03,3.7839E-01,3.6043E+01
5.48,1.0986E-03,1.4273E-01,7.6968E-03,3.7780E-01,3.6316E+01
5.49,1.0866E-03,1.4229E-01,7.6369E-03,3.7721E-01,3.6592E+01
5.50,1.0748E-03,1.4184E-01,7.5775E-03,3.7662E-01,3.6869E+01
5.51,1.0632E-03,1.4140E-01,7.5187E-03,3.7603E-01,3.7148E+01
5.52,1.0516E-03,1.4096E-01,7.4604E-03,3.7545E-01,3.7429E+01
5.53,1.0402E-03,1.4052E-01,7.4026E-03,3.7487E-01,3.7711E+01
5.54,1.0290E-03,1.4009E-01,7.3453E-03,3.7428E-01,3.7996E+01
5.55,1.0179E-03,1.3966E-01,7.2886E-03,3.7370E-01,3.8282E+01
5.56,1.0069E-03,1.3922E-01,7.2323E-03,3.7313E-01,3.8570E+01
5.57,9.9606E-04,1.3879E-01,7.1766E-03,3.7255E-01,3.8860E+01
5.58,9.8534E-04,1.3836E-01,7.1214E-03,3.7197E-01,3.9151E+01
5.59,9.7476E-04,1.3794E-01,7.0666E-03,3.7140E-01,3.9445E+01
5.60,9.6430E-04,1.3751E-01,7.0124E-03,3.7083E-01,3.9740E+01
5.61,9.5396E-04,1.3709E-01,6.9586E-03,3.7026E-01,4.0037E+01
5.62,9.4375E-04,1.3667E-01,6.9053E-03,3.6969E-01,4.0336E+01
5.63,9.3367E-04,1.3625E-01,6.8525E-03,3.6912E-01,4.0637E+01
5.64,9.2370E-04,1.3583E-01,6.8002E-03,3.6856E-01,4.0940E+01
5.65,9.1385E-04,1.3542E-01,6.7483E-03,3.6799E-01,4.1245E+01
5.66,9.0412E-04,1.3501E-01,6.6969E-03,3.6743E-01,4.1552E+01
5.67,8.9451E-04,1.3459E-01,6.6460E-03,3.6687E-01,4.1860E+01
5.68,8.8501E-04,1.3418E-01,6.5955E-03,3.6631E-01,4.2171E+01
5.69,8.7562E-04,1.3378E-01,6.5455E-03,3.6575E-01,4.2483E+01
5.70,8.6635E-04,1.3337E-01,6.4959E-03,3.6520E-01,4.2797E+01
5.71,8.5718E-04,1.3296E-01,6.4467E-03,3.6464E-01,4.3114E+01
5.72,8.4812E-04,1.3256E-01,6.3980E-03,3.6409E-01,4.3432E+01
5.73,8.3917E-04,1.3216E-01,6.3497E-03,3.6354E-01,4.3752E+01
5.74,8.3033E-04,1.3176E-01,6.3018E-03,3.6299E-01,4.4074E+01
5.75,8.2159E-04,1.3136E-01,6.2543E-03,3.6244E-01,4.4399E+01
5.76,8.1295E-04,1.3097E-01,6.2073E-03,3.6189E-01,4.4725E+01
5.77,8.0442E-04,1.3057E-01,6.1607E-03,3.6135E-01,4.5053E+01
5.78,7.9598E-04,1.3018E-01,6.1145E-03,3.6080E-01,4.5383E+01
5.79,7.8765E-04,1.2979E-01,6.0687E-03,3.6026E-01,4.5716E+01
5.80,7.7941E-04,1.2940E-01,6.0233E-03,3.5972E-01,4.6050E+01
5.81,7.7127E-04,1.2901E-01,5.9783E-03,3.5918E-01,4.6386E+01
5.82,7.6322E-04,1.2863E-01,5.9336E-03,3.5864E-01,4.6725E+01
5.83,7.5527E-04,1.2824E-01,5.8894E-03,3.5811E-01,4.7065E+01
5.84,7.4741E-04,1.2786E-01,5.8456E-03,3.5757E-01,4.7408E+01
5.85,7.3964E-04,1.2748E-01,5.8021E-03,3.5704E-01,4.7753E+01
5.86,7.3196E-04,1.2710E-01,5.7590E-03,3.5651E-01,4.8099E+01
5.87,7.2438E-04,1.2672E-01,5.7163E-03,3.5598E-01,4.8448E+01
5.88,7.1688E-04,1.2634E-01,5.6740E-03,3.5545E-01,4.8799E+01
5.89,7.0946E-04,1.2597E-01,5.6320E-03,3.5492E-01,4.9152E+01
5.90,7.0214E-04,1.2560E-01,5.5904E-03,3.5440E-01,4.9507E+01
5.91,6.9490E-04,1.2523E-01,5.5492E-03,3.5387E-01,4.9865E+01
5.92,6.8774E-04,1.2486E-01,5.5083E-03,3.5335E-01,5.0224E+01
5.93,6.8066E-04,1.2449E-01,5.4677E-03,3.5283E-01,5.0586E+01
5.94,6.7367E-04,1.2412E-01,5.4276E-03,3.5231E-01,5.0950E+01
5.95,6.6675E-04,1.2375E-01,5.3877E-03,3.5179E-01,5.1316E+01
5.96,6.5992E-04,1.2339E-01,5.3482E-03,3.5127E-01,5.1684E+01
5.97,6.5317E-04,1.2303E-01,5.3090E-03,3.5075E-01,5.2055E+01
5.98,6.4649E-04,1.2267E-01,5.2702E-03,3.5024E-01,5.2428E+01
5.99,6.3989E-04,1.2231E-01,5.2317E-03,3.4973E-01,5.2803E+01
